ID,Contexto fonético,Find,Replace,Exemplo
T82,Seleciona todos os <z> em coda silábica no final de palavra,z$,ʃ,Origin Word: ɐˈrroz -> Processed Word: ɐˈrroʃ
T83,Seleciona todos os <qu> seguidos de <e> e <i>,qu(?=(ɐj|ɐ̃j̃|e|ɛ|/E/|ẽ|i|ĩ|ɨ)),k,Origin Word: ɐˈqui -> Processed Word: ɐˈki
T84,Seleciona todos os <qu> seguidos de <a>,qu(?=(a|ɐ|ɐ̃)),kʷ,Origin Word: ˈquɐ̃du -> Processed Word: ˈkʷɐ̃du
T85,Seleciona todos os <r> em fronteira inicial de palavra,^r,ʀ,Origin Word: rɐˈpaz -> Processed Word: ʀɐˈpaz
T86,Seleciona todos os <r> tónicos em fronteira inicial de palavra,^(?<=[ˈ])r,ʀ,Origin Word: ˈrɐj -> Processed Word: ʀɐj
T87,Seleciona todos os <rr>,r{2},ʀ,Origin Word: ˈterrɐ -> Processed Word: ˈteʀɐ
T88,Seleciona todos os <r> em coda silábica no interior de palavra,(?<=(a|ɐ|e|ɛ|/E/|ɨ|i|j|o|ɔ|/O/|u|w))r(?=[ˈbdfgʃɲʎʒklmnpstvz]),ɾ,Origin Word: ˈursu -> Processed Word: ˈuɾsu
T89,Seleciona todos os <r> em coda silábica no final de palavra,r$,ɾ,Origin Word: ɐˈmor -> Processed Word: ɐˈmoɾ
T90,Seleciona todos os <r> em posição intervocálica,(?<=(a|ɐ|e|ɛ|/E/|ɨ|i|j|o|ɔ|/O/|u|w))r(?=(a|ɐ|e|ɛ|/E/|ɨ|i|j|o|ɔ|/O/|u|w|ɐ̃|ẽ|ĩ|õ|ũ|j̃|w̃)),ɾ,Origin Word: ˈkaru -> Processed Word: ˈkaɾu
T91,Seleciona todos os <r> em posição intervocálica tónica,(?<=(a|ɐ|e|ɛ|/E/|ɨ|i|j|o|ɔ|/O/|u|w)ˈ)r(?=(a|ɐ|e|ɛ|/E/|ɨ|i|j|o|ɔ|/O/|u|w|ɐ̃|ẽ|ĩ|õ|ũ|j̃|w̃)),ɾ,Origin Word: nɐtuˈraɫ -> Processed Word: nɐtuˈɾaɫ
T92,Seleciona todos os <r> pertencentes a um grupo consonântico próprio,(?<=[pbtdkgfv])r,ɾ,Origin Word: ˈfriu -> Processed Word: ˈfɾiu
